sza,local_time,mlt,mlat,lat,rio,date,S_sn,mS_sn,S_avcc,mS_avcc,S_avmb,mS_avmb,S_sw,mS_sw
60.179,8.475,7.553,54.972,45.400,ott,2012-07-08 12:09:00,0.005,-0.000,0.012,0.003,-0.042,-0.018,-0.007,-0.005
75.513,7.475,5.203,59.167,49.920,brd,2012-07-08 12:09:00,-0.013,-0.005,-0.010,-0.004,-0.035,-0.012,-0.019,-0.007
87.086,5.475,3.537,55.314,49.320,pen,2012-07-08 12:09:00,-10896084035680023869496110787678561107968.000,-52926821549421355008.000,-10896084035680023869496110787678561107968.000,-52926821549421355008.000,-10896084035680023869496110787678561107968.000,-52926821549421355008.000,,
54.250,9.642,8.635,54.961,45.400,ott,2012-08-17 13:19:00,,-5.242,,-6.291,,-4.942,,-3.295
71.132,8.642,6.285,59.161,49.920,brd,2012-08-17 13:19:00,,-0.041,,-0.030,,-0.098,,-0.057
83.716,6.642,4.619,55.312,49.320,pen,2012-08-17 13:19:00,,-0.033,,-0.026,,-0.060,,-0.040
33.817,12.442,11.451,54.961,45.400,ott,2012-08-18 16:07:00,,-4.583,,-5.033,,-0.503,,-3.793
46.547,11.442,9.102,59.161,49.920,brd,2012-08-18 16:07:00,,0.168,,0.216,,-0.059,,0.098
57.167,9.442,7.435,55.312,49.320,pen,2012-08-18 16:07:00,,0.071,,0.121,,-0.166,,-0.001
61.100,14.558,14.099,54.944,45.400,ott,2012-10-20 18:14:00,0.270,0.154,0.296,0.174,0.098,0.054,0.229,0.125
60.724,13.558,11.750,59.152,49.920,brd,2012-10-20 18:14:00,0.252,0.231,0.254,0.266,0.109,0.073,0.236,0.185
62.008,11.558,10.084,55.309,49.320,pen,2012-10-20 18:14:00,0.150,0.274,0.125,0.321,0.085,0.072,0.169,0.214
65.472,15.175,14.696,54.944,45.400,ott,2012-10-22 18:51:00,0.275,0.156,0.314,0.181,0.040,0.035,0.215,0.121
62.236,14.175,12.348,59.152,49.920,brd,2012-10-22 18:51:00,0.135,0.447,0.069,0.549,0.086,0.085,0.197,0.327
61.224,12.175,10.681,55.309,49.320,pen,2012-10-22 18:51:00,0.272,0.185,0.304,0.218,0.027,0.034,0.218,0.141
